n;A;alpha;R^2;suggested_partition;epsilon1;epsilon2
10;100;9;[0.712, 0.831, 0.912, 0.987, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]];1070.2114041773325;0
11;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 2, 3, 4, 5], [1, 8, 9], [7, 10], [6]];1.3073986337985843e-12;0
11;20;1;[0.902, 0.915, 0.945, 0.984, 0.984, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];5.0117764232816455;0
11;20;2;[0.864, 0.891, 0.93, 0.981, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];12.702331759407144;0
11;20;3;[0.828, 0.871, 0.918, 0.978, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];20.410912847779414;0
11;20;4;[0.795, 0.853, 0.908, 0.975, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];27.942026481666787;0
11;20;5;[0.766, 0.839, 0.9, 0.973, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];34.48160214358299;0
11;20;6;[0.741, 0.827, 0.893, 0.971, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];40.01239866763444;0
11;20;7;[0.718, 0.816, 0.887, 0.97, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];44.619758492054316;0
11;20;8;[0.699, 0.807, 0.882, 0.969, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];48.41882470257086;0
11;20;9;[0.681, 0.8, 0.878, 0.967, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];51.525406116661486;0
11;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];2.9103830456733704e-11;0
11;100;1;[0.902, 0.915, 0.945, 0.984, 0.984, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];125.29441058203975;0
11;100;2;[0.864, 0.891, 0.93, 0.981, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];317.55829398517926;0
11;100;3;[0.828, 0.871, 0.918, 0.978, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];510.27282119448637;0
11;100;4;[0.795, 0.853, 0.908, 0.975, 0.983, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];698.5506620416677;0
11;100;5;[0.766, 0.839, 0.9, 0.973, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];862.0400535895765;0
11;100;6;[0.741, 0.827, 0.893, 0.971, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1000.3099666908602;0
11;100;7;[0.718, 0.816, 0.887, 0.97, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1115.4939623013574;0
11;100;8;[0.699, 0.807, 0.882, 0.969, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1210.47061756427;0
11;100;9;[0.681, 0.8, 0.878, 0.967, 0.982, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]];1288.1351529165363;0
12;20;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[4, 5, 6, 9, 10, 11], [0, 3, 7], [1, 2, 8]];7.958078640513122e-13;0
12;20;1;[0.903, 0.909, 0.934, 0.97, 0.992, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];5.894114785449432;0
12;20;2;[0.863, 0.882, 0.916, 0.964, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];15.167165075028464;0
12;20;3;[0.825, 0.859, 0.901, 0.958, 0.991, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];23.56437199934672;0
12;20;4;[0.79, 0.84, 0.889, 0.953, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];31.347184852999135;0
12;20;5;[0.759, 0.823, 0.879, 0.949, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];38.904520849270654;0
12;20;6;[0.731, 0.809, 0.87, 0.946, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];45.379762490614766;0
12;20;7;[0.707, 0.797, 0.863, 0.943, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];50.846553234944224;0
12;20;8;[0.685, 0.787, 0.856, 0.94, 0.99, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];55.41786917775269;0
12;20;9;[0.666, 0.778, 0.851, 0.938, 0.989, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];59.212296426790715;0
12;100;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 5, 6, 7], [3], [4], [8], [9], [10], [11]];3.2741809263825417e-11;0
12;100;1;[0.903, 0.909, 0.934, 0.97, 0.992, 1, 1, 1, 1, 1, 1, 1];[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]];147.35286963623457;0
